country,ISO3,year,sex,registry_count,registry_scope,total_thyroid_cases,papillary_cases,follicular_cases,medullary_cases,anaplastic_cases,specified_other_cases,unspecified_cases,component_sum,reconciles_to_total,PTC_proportion_percent,FTC_proportion_percent,MTC_proportion_percent,ATC_proportion_percent,other_specified_proportion_percent,unspecified_proportion_percent,PTC_FTC_ratio,analytic_era,era_quality,fixed_break_model_eligible,primary_latency_break,denominator_status,microscopic_verification,source,source_url
Australia,AUS,1988,both,5,stable_subnational_composite,396,257,83,16,18,7,15,396,YES,64.8989898989899,20.95959595959596,4.040404040404041,4.545454545454546,1.7676767676767677,3.787878787878788,3.0963855421686746,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1988,female,5,stable_subnational_composite,292,196,61,10,10,3,12,292,YES,67.12328767123287,20.89041095890411,3.4246575342465753,3.4246575342465753,1.0273972602739727,4.109589041095891,3.2131147540983607,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1988,male,5,stable_subnational_composite,104,61,22,6,8,4,3,104,YES,58.65384615384615,21.153846153846153,5.769230769230769,7.6923076923076925,3.8461538461538463,2.8846153846153846,2.772727272727273,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1989,both,5,stable_subnational_composite,385,249,79,19,9,9,20,385,YES,64.67532467532467,20.51948051948052,4.935064935064935,2.3376623376623376,2.3376623376623376,5.194805194805195,3.151898734177215,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1989,female,5,stable_subnational_composite,273,176,57,12,6,7,15,273,YES,64.46886446886447,20.87912087912088,4.395604395604396,2.197802197802198,2.5641025641025643,5.4945054945054945,3.087719298245614,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1989,male,5,stable_subnational_composite,112,73,22,7,3,2,5,112,YES,65.17857142857143,19.642857142857142,6.25,2.6785714285714284,1.7857142857142858,4.464285714285714,3.3181818181818183,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1990,both,5,stable_subnational_composite,428,276,96,16,12,8,20,428,YES,64.48598130841121,22.429906542056074,3.7383177570093458,2.803738317757009,1.8691588785046729,4.672897196261682,2.875,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1990,female,5,stable_subnational_composite,298,203,63,7,9,4,12,298,YES,68.12080536912751,21.140939597315437,2.348993288590604,3.0201342281879193,1.342281879194631,4.026845637583893,3.2222222222222223,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1990,male,5,stable_subnational_composite,130,73,33,9,3,4,8,130,YES,56.15384615384615,25.384615384615383,6.923076923076923,2.3076923076923075,3.076923076923077,6.153846153846154,2.212121212121212,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1991,both,5,stable_subnational_composite,471,320,92,25,19,4,11,471,YES,67.94055201698514,19.532908704883226,5.307855626326964,4.033970276008493,0.8492569002123143,2.335456475583864,3.4782608695652173,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1991,female,5,stable_subnational_composite,335,240,59,12,13,1,10,335,YES,71.64179104477611,17.611940298507463,3.582089552238806,3.8805970149253732,0.29850746268656714,2.985074626865672,4.067796610169491,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1991,male,5,stable_subnational_composite,136,80,33,13,6,3,1,136,YES,58.8235294117647,24.264705882352942,9.558823529411764,4.411764705882353,2.2058823529411766,0.7352941176470589,2.4242424242424243,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1992,both,5,stable_subnational_composite,563,379,123,26,14,6,15,563,YES,67.31793960923623,21.847246891651864,4.618117229129663,2.4866785079928952,1.0657193605683837,2.664298401420959,3.0813008130081303,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1992,female,5,stable_subnational_composite,411,294,82,12,8,4,11,411,YES,71.53284671532846,19.951338199513383,2.9197080291970803,1.9464720194647203,0.9732360097323601,2.67639902676399,3.5853658536585367,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1992,male,5,stable_subnational_composite,152,85,41,14,6,2,4,152,YES,55.921052631578945,26.973684210526315,9.210526315789474,3.9473684210526314,1.3157894736842106,2.6315789473684212,2.073170731707317,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1993,both,7,stable_subnational_composite,678,471,123,38,13,10,23,678,YES,69.46902654867256,18.141592920353983,5.6047197640118,1.9174041297935103,1.4749262536873156,3.392330383480826,3.8292682926829267,1993-2017_SEVEN_STABLE_REGISTRIES,MODERATE,YES_LOW_POSTBREAK_INFORMATION,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1993,female,7,stable_subnational_composite,527,380,97,20,7,7,16,527,YES,72.10626185958255,18.40607210626186,3.795066413662239,1.3282732447817838,1.3282732447817838,3.0360531309297913,3.917525773195876,1993-2017_SEVEN_STABLE_REGISTRIES,MODERATE,YES_LOW_POSTBREAK_INFORMATION,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1993,male,7,stable_subnational_composite,151,91,26,18,6,3,7,151,YES,60.264900662251655,17.218543046357617,11.920529801324504,3.9735099337748343,1.9867549668874172,4.635761589403973,3.5,1993-2017_SEVEN_STABLE_REGISTRIES,MODERATE,YES_LOW_POSTBREAK_INFORMATION,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1994,both,7,stable_subnational_composite,729,529,122,30,11,7,30,729,YES,72.56515775034293,16.73525377229081,4.11522633744856,1.5089163237311385,0.9602194787379973,4.11522633744856,4.336065573770492,1993-2017_SEVEN_STABLE_REGISTRIES,MODERATE,YES_LOW_POSTBREAK_INFORMATION,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1994,female,7,stable_subnational_composite,545,401,95,18,7,5,19,545,YES,73.57798165137615,17.431192660550458,3.302752293577982,1.2844036697247707,0.9174311926605505,3.4862385321100917,4.221052631578948,1993-2017_SEVEN_STABLE_REGISTRIES,MODERATE,YES_LOW_POSTBREAK_INFORMATION,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
