country,ISO3,year,sex,C73_deaths,population,ASMR_per_100k,standard_population,mortality_quality,primary_latency_break,observed_status,source,source_url,analysis_role
Australia,AUS,2001,male,34,9630652.0,0.23588895,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2002,male,36,9766991.0,0.2403299,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2003,male,42,9873447.0,0.26446378,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2004,male,42,9998899.0,0.27524395,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2006,male,50,10128064.0,0.30162342,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2007,male,41,10475527.0,0.23031659,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2008,male,45,10696123.0,0.25327258,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2009,male,50,10930363.0,0.25731487,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2010,male,38,11100244.0,0.18635365,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2011,male,45,11118234.0,0.23738403,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
