country,ISO3,year,sex,C73_cases,population,analysis_rate_per_100k,age_group,incidence_rate_per_100k,ASIR_WHO_per_100k,ASIR_Segi_per_100k,analysis_rate_standard,policy_year,primary_break_year,source,source_url,raw_file,raw_file_SHA256,observed_status,model_inclusion,population_status,series_segment
Croatia,HRV,1998,female,194.0,2322863.0,6.51469523,All ages (age-standardised),8.351762458655546,,6.51469523,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1998,male,44.0,2164258.0,1.5914796,All ages (age-standardised),2.0330293338409744,,1.5914796,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1999,both,360.0,4462257.0,6.144773454921441,All ages (age-standardised),8.067666205689184,,6.144773454921441,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1999,female,283.0,2311381.0,9.50267245,All ages (age-standardised),12.243762495235533,,9.50267245,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1999,male,77.0,2150876.0,2.7121666,All ages (age-standardised),3.579936732754468,,2.7121666,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,2000,both,335.0,4381352.0,6.212482862576981,All ages (age-standardised),7.64604167845907,,6.212482862576981,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,2000,female,261.0,2275761.0,9.38239732,All ages (age-standardised),11.468691132328921,,9.38239732,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,2000,male,74.0,2105591.0,2.86726481,All ages (age-standardised),3.5144527118514466,,2.86726481,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,2001,both,315.0,4420333.0,5.2456495656032525,All ages (age-standardised),7.126159952202696,,5.2456495656032525,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,2001,female,262.0,2292083.0,8.42399119,All ages (age-standardised),11.430650635251864,,8.42399119,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
