"panel","country","ISO3","year","observed_ASIR_per_100k","fitted_segmented_ASIR_per_100k","fitted_segment","policy_year","primary_break_year","pre_break_slope","post_break_slope","slope_change","slope_change_CI95_low","slope_change_CI95_high","observed_status","projected","pooled_estimate"
"C  Croatia","Croatia","HRV",2008,8.57699300812059,8.38624239828613,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2009,8.93145210405248,8.886224133773,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2010,8.93375644415808,9.38620586925986,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2011,9.1072619572767,9.88618760474673,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2012,9.49105893779862,10.3861693402336,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2013,10.3603634635463,10.8861510757205,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2014,11.2439529917707,11.3861328112073,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2015,13.57157091888,11.8861145466942,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2016,11.3913845853753,12.3860962821811,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2017,13.032999716706,12.8860780176679,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2018,14.3,13.3860597531548,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2019,14.78,13.8860414886417,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2020,12.45,14.3860232241285,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2021,14.3285626052517,14.8860049596154,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2022,14.94165,15.3859866951023,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
"C  Croatia","Croatia","HRV",2023,17.8357552277677,15.8859684305891,"Fitted post-break trend",1996,2001,0.281052870172287,0.499981735486868,0.218928865314582,0.066213508361624,0.371644222267539,"OBSERVED","NO","NO"
